City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
282,Muros,ES,42.7762,-9.0603,65.68,92,99,8.37,overcast clouds
283,Kalengwa,ZM,-13.4659,25.0027,61.11,52,71,5.14,broken clouds
284,Maragogi,BR,-9.0122,-35.2225,79.81,78,21,15.64,few clouds
285,Chicama,PE,-7.8447,-79.1469,64.94,63,34,10.11,scattered clouds
286,Talnakh,RU,69.4865,88.3972,35.8,100,100,2.86,overcast clouds
287,Asfi,MA,32.2994,-9.2372,69.15,72,99,21.83,overcast clouds
288,Geraldton,AU,-28.7667,114.6,64.81,68,40,17.27,scattered clouds
289,Sharan,RU,54.8167,54.0,39.56,76,87,1.21,overcast clouds
290,Tamandare,BR,-8.7597,-35.1047,80.69,75,16,15.12,few clouds
291,Shenjiamen,CN,29.9576,122.298,65.41,87,100,10.96,heavy intensity rain
292,Linden,GY,6.0,-58.3,73.58,98,100,1.45,heavy intensity rain
293,Mount Isa,AU,-20.7333,139.5,62.37,77,86,5.75,overcast clouds
294,Sibolga,ID,1.7427,98.7792,76.87,89,100,3.09,overcast clouds
295,La Paz,BO,-16.5,-68.15,55.6,28,48,14.36,scattered clouds
296,Bosaso,SO,11.2842,49.1816,90.19,39,99,6.35,overcast clouds
297,Bilibino,RU,68.0546,166.4372,41.86,73,90,3.4,overcast clouds
298,Parati,BR,-23.2178,-44.7131,73.85,61,2,4.16,clear sky
299,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,87,100,3.98,light rain
300,Sabalgarh,IN,26.25,77.4,97.48,16,95,3.38,overcast clouds
301,Tilichiki,RU,60.4667,166.1,34.16,88,15,4.23,few clouds
302,Murchison,NZ,-41.8,172.3333,41.45,98,61,0.81,broken clouds
303,Tabou,CI,4.423,-7.3528,76.75,85,100,6.62,light rain
304,Olafsvik,IS,64.8945,-23.7142,45.68,65,27,12.44,scattered clouds
305,Itarema,BR,-2.9248,-39.9167,82.87,77,58,8.23,broken clouds
306,Brae,GB,60.3964,-1.353,51.85,95,100,10.76,overcast clouds
307,Obo,CF,5.3998,26.4869,73.74,79,69,3.83,light rain
308,Noumea,NC,-22.2763,166.4572,78.78,99,65,4.05,broken clouds
309,Austin,US,30.2672,-97.7431,79.66,64,75,13.8,broken clouds
310,Muisne,EC,0.6,-80.0333,79.97,85,73,10.33,light rain
311,Ojinaga,MX,29.5667,-104.4167,81.57,38,0,18.41,clear sky
312,Pavlivka,UA,49.4414,28.4596,50.05,81,70,13.13,broken clouds
313,Baoding,CN,38.8511,115.4903,71.78,38,73,4.09,broken clouds
314,Asyut,EG,27.181,31.1837,79.47,17,0,11.88,clear sky
315,Nara,JP,34.6851,135.8049,65.5,84,13,1.28,few clouds
316,Jacqueville,CI,5.2052,-4.4146,76.06,85,100,7.31,overcast clouds
317,Arteaga,MX,18.4667,-102.4167,88.12,34,24,4.61,few clouds
318,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,18.41,few clouds
319,Pangoa,PE,-12.1167,-73.0,80.38,58,88,4.54,overcast clouds
320,Kudahuvadhoo,MV,2.6708,72.8944,83.77,74,90,13.44,overcast clouds
321,Linhares,BR,-19.3911,-40.0722,73.98,66,58,6.35,broken clouds
322,Avera,US,33.194,-82.5271,87.55,42,66,12.39,broken clouds
323,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,1.14,broken clouds
324,Angul,IN,20.85,85.1,86.85,48,46,7.43,scattered clouds
325,Odweyne,SO,9.4092,45.064,85.37,21,98,3.6,overcast clouds
326,Bilma,NE,18.6853,12.9164,94.19,8,14,7.4,few clouds
327,Picui,BR,-6.5106,-36.3469,80.55,60,84,14.52,broken clouds
328,Nioro,GM,13.35,-15.75,96.57,22,42,12.95,scattered clouds
329,Brunsbuttel,DE,53.9,9.15,64.33,76,46,3.69,scattered clouds
330,Westport,US,41.1415,-73.3579,93.27,58,0,11.5,clear sky
331,Tuy Hoa,VN,13.0833,109.3,79.21,81,100,12.12,overcast clouds
