City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
106,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
111,Namatanai,PG,79.63,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
112,Turan,VN,82.38,few clouds,16.0678,108.2208,Grand Mercure Danang
119,Labuhan,ID,79.9,light rain,-6.8844,112.2051,DoubleFAG
127,Nagapattinam,IN,85.24,overcast clouds,10.7667,79.8333,Sathya Lodge
128,Mirpur Khas,PK,86.22,clear sky,25.5251,69.0159,Hotel Al-Fajar
132,Alofi,NU,79.59,clear sky,-19.0595,-169.9187,Taloa Heights
134,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
136,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
138,Cockburn Town,TC,79.41,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
141,Kieta,PG,78.31,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
157,San Patricio,US,79.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
160,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
162,Panama City,PA,86.43,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
163,Meulaboh,ID,78.26,overcast clouds,4.1363,96.1285,Kost Pria
165,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
168,Port Moresby,PG,76.44,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
173,Boyolangu,ID,75.18,broken clouds,-8.1181,111.8935,Yos ega cv
174,Sola,VU,80.8,few clouds,-13.8833,167.55,Leumerus Bungalows
175,Doembang Nangbuat,TH,81.05,overcast clouds,14.8333,100.1,ธาราริน วิลล่า
177,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
180,Lorengau,PG,82.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
181,Banda Aceh,ID,81.19,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
182,Sao Felix Do Xingu,BR,88.77,clear sky,-6.6447,-51.995,Rio Xingu Camping
189,Tual,ID,83.07,few clouds,-5.6667,132.75,Grand Vilia Hotel
196,San Ramon De La Nueva Oran,AR,76.42,clear sky,-23.1322,-64.326,Hotel Residencial Centro
197,Matay,EG,78.53,clear sky,28.419,30.7792,Nag Aespen
203,Suclayin,PH,75.9,light rain,15.7568,121.5503,Costa Pacifica
213,Hithadhoo,MV,83.89,broken clouds,-0.6,73.0833,Scoop Guest House
216,Roma,US,83.95,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
233,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
238,Trairi,BR,83.95,scattered clouds,-3.2778,-39.2689,janelas do mar
243,Sarangani,PH,82.27,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
245,Nabire,ID,75.04,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
250,Tabas,IR,77.23,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
254,La Rochelle,FR,75.27,clear sky,46.1667,-1.15,Hôtel Saint Jean d'Acre
257,Pozo Colorado,PY,76.59,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
262,Kutum,SD,83.91,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
264,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
