City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Lata,PT,2022-05-16 14:51:15,40.1629,-8.3327,77.49,52,72,9.53
225,Husavik,IS,2022-05-16 14:51:15,66.0449,-17.3389,56.89,55,81,10.07
226,Hanzhong,CN,2022-05-16 14:51:16,33.0728,107.0303,58.96,64,10,3.85
227,Cape Town,ZA,2022-05-16 14:47:24,-33.9258,18.4232,90.01,44,0,9.22
228,Nome,US,2022-05-16 14:52:16,64.5011,-165.4064,35.67,69,20,5.75
229,Asau,RO,2022-05-16 14:52:17,46.4333,26.4,72.52,72,100,1.86
230,Ixtapa,MX,2022-05-16 14:52:18,20.7,-105.2,83.93,39,95,2.53
231,Kodiak,US,2022-05-16 14:52:19,57.79,-152.4072,42.31,65,0,8.05
232,Bowen,AU,2022-05-16 14:52:19,-20.0167,148.2333,73.13,82,7,3.04
233,Belfast,GB,2022-05-16 14:48:27,54.5833,-5.9333,64.99,78,40,11.5
234,Makubetsu,JP,2022-05-16 14:52:20,45.3714,141.8211,47.82,81,23,18.01
235,Karratha,AU,2022-05-16 14:44:15,-20.7377,116.8463,73.96,77,99,7.96
236,Mumford,GH,2022-05-16 14:44:05,5.2618,-0.759,83.91,73,84,12.59
237,Vanimo,PG,2022-05-16 14:52:22,-2.6741,141.3028,79.65,84,62,3.85
238,Mujiayingzi,CN,2022-05-16 14:52:22,42.1167,118.7833,56.93,24,96,6.02
239,Bandarbeyla,SO,2022-05-16 14:44:16,9.4942,50.8122,82.31,79,14,31.76
240,Saint-Pierre,RE,2022-05-16 14:52:23,-21.3393,55.4781,73.08,78,75,12.66
241,Nabire,ID,2022-05-16 14:52:23,-3.3667,135.4833,76.93,86,87,2.71
242,Namibe,AO,2022-05-16 14:52:24,-15.1961,12.1522,75.83,69,20,12.66
243,Porto Novo,BJ,2022-05-16 14:52:24,6.4965,2.6036,89.42,63,100,11.95
244,Jibuti,DJ,2022-05-16 14:52:25,11.5,42.5,92.68,17,0,9.91
245,Apastovo,RU,2022-05-16 14:52:25,55.2029,48.5109,55.92,69,93,7.99
246,Obo,CF,2022-05-16 14:52:26,5.3998,26.4869,76.53,77,100,2.73
247,Alexandria,EG,2022-05-16 14:52:27,31.2156,29.9553,75.74,53,0,9.22
248,Manali,IN,2022-05-16 14:52:27,13.1667,80.2667,86.07,85,100,10.33
249,Jasper,US,2022-05-16 14:51:41,37.2001,-94.3502,71.02,73,0,5.75
250,Bemidji,US,2022-05-16 14:49:45,47.4736,-94.8803,53.06,60,0,14.97
251,Norman Wells,CA,2022-05-16 14:52:28,65.282,-126.8329,35.64,80,20,3.44
252,Ketchikan,US,2022-05-16 14:52:28,55.3422,-131.6461,42.78,87,75,6.91
253,Chik,RU,2022-05-16 14:52:29,54.9928,82.4311,71.35,32,0,8.95
254,Mudanjiang,CN,2022-05-16 14:52:30,44.5833,129.6,45.5,55,14,3.47
255,Dhidhdhoo,MV,2022-05-16 14:52:30,6.8833,73.1,82.09,83,100,24.72
256,Hualmay,PE,2022-05-16 14:52:31,-11.0964,-77.6139,69.62,67,78,7.9
257,Kashi,CN,2022-05-16 14:52:31,39.4547,75.9797,74.41,35,20,4.47
258,Hovd,MN,2022-05-16 14:52:32,48.0056,91.6419,60.01,35,100,10.47
259,Kismayo,SO,2022-05-16 14:52:32,-0.3582,42.5454,80.4,79,8,15.99
260,Avallon,FR,2022-05-16 14:52:33,47.4833,3.9,72.88,59,7,4.27
